1,Object,Object,sys,1,1,0,1,Default type - Object,e30=
2,Numeric,Numeric,sys,1,1,0,1,Default type - Numeric,e30=
3,Alphabetic,Alphabetic,sys,1,1,0,1,Default type - Alphabetic,e30=
4,ExtendedNumeric,ExtendedNumeric,sys,1,2,0,1,Default type - Extended Numeric,e30=
5,ExtendedAlphabetic,ExtendedAlphabetic,sys,1,3,0,1,Default type - Extended Alphabetic,e30=
